,,,,,,,
,,,,,,,
,,,,,,,
,COMIDA,TIPO,CARBOHIDRATO,GRASAS,PROTEINAS,CALORIAS,RACION
,Harina de Trigo Leudante (Robinson),Carbohidratos,74,"0,8",10,334,100
,Harina de Trigo Leudante (Ronco),Carbohidratos,25,"0,2",4,122,34
,Harina de Trigo Todo Uso Enriquecida (Mary),Carbohidratos,71,2,13,350,100
,Harina de Trigo Tradicional (Robinson),Carbohidratos,75,"0,8",10,336,100
,Helado Fres (Cali),Dulce/Golosina/Chucheria,10,7,2,57,70
,Helado Sabor a Chocolate (EFE),Dulce/Golosina/Chucheria,15,6,2,120,68
,Helado Sabor a Toddy (EFE),Dulce/Golosina/Chucheria,16,6,2,120,69
,Hígado de pollo,Proteina,2,2,18,98,100
,Hígado de ternera,Proteina,2,3,20,115,100
,Hojuelas de Maíz Azucaradas,Carbohidratos,27,0,1,120,30
,Hojuelas de Maíz Natural,Carbohidratos,27,0,2,110,30
,Hony (Belvita) (Unidad),Carbohidratos,"6,6",1,"0,6",33,1
,Huevo de Gallina (Unidad),Proteina,"0,34","4,37",6,65,1
,Jack's Chicharrón Picante (Lay),Dulce/Golosina/Chucheria,1,5,11,100,20
,Jack's Maní (Frito Lay),Carbohidratos,9,8,8,130,25
,Jack's Tortillitas (Frito Lay),Dulce/Golosina/Chucheria,25,11,2,210,40
,Jack's Tortillitas Sabor a Queso (Frito Lay),Dulce/Golosina/Chucheria,25,11,2,200,40
,Jamón de Pavo (Rebanada),Proteina,"0,58","1,37","4,96",34,1
,Jugo de Naranja (Yukery),Bebidas,9,0,0,35,100
,Ketchup (Pampero),Carbohidratos,6,0,0,25,20
,Kraker (Belvita) (Unidad),Carbohidratos,"6,3","0,6",1,37,1
,Lactovisoy,Carbohidratos,78,"3,5",16,410,100
,Lasaña Precocida,Carbohidratos,70,3,10,338,100
,Leche Completa (Purísima),Carbohidratos,,,,61,100
,Leche Condensada (Cremor),Carbohidratos,12,"0,7","0,9",58,20
,Leche Descremada Deslactosada (Latti),Carbohidratos,10,0,6,60,200
,Leche Descremada Deslactosada (Purísima),Bebidas,,,,40,100
,Leche en Polvo Completa (Campestre),Carbohidratos,37,"26,5",26,492,100
,Leche en Polvo Completa (La Campiña),Carbohidratos,38,26,27,490,100
,Leche en Polvo Completa (San Simón),Carbohidratos,36,26,26,480,100
,,,,,,,
,Leche en Polvo Completa Extra Calcio (Campestre),Carbohidratos,37,"26,5",26,492,100
,Leche en Polvo Semidescremada (Campestre),Carbohidratos,44,15,25,410,100
,Leche Evaporada (Royale),Carbohidratos,"10,2","9,2","3,1",134,100
,Lechuga,Carbohidratos,2,"0,2","1,4",15,100
,Lentejas (Pantera) (Crudo),Carbohidratos,20,0,9,120,100
,Lonchitas Zero (Unidad),Grasas,"3,1","3,3","0,62",45,1
,M&M (Mantequilla de Maní/Peanut),Dulce/Golosina/Chucheria,17,0,3,140,28
,Maíz en lata (Del Monte),Carbohidratos,13,1,1,60,100
,Maíz Milho (Predilecta),Carbohidratos,19,"1,6","3,8",106,130
,Maní King Salado sin Piel,Grasas,"9,9",50,26,595,100
,Mantequilla de Maní (JIF),Grasas,8,16,7,190,33
,Mantequilla de Maní Extra Crunchy (Skippyy),Grasas,6,16,7,190,32
,Margarina (Mavesa),Grasas,0,9,0,80,14
,Margarina (Mirasol),Grasas,0,8,0,72,14
,Margarina Repostera con Sal (Mavesa),Grasas,1,9,0,90,14
,Mayonesa (Kraft),Grasas,0,12,0,110,15
,Mayonesa (Mavessa),Grasas,0,11,0,100,14
,Mayonesa Light (Hellmann's),Carbohidratos,9,"15,6","0,4",178,100
,Mezcla de Arepitas Dulces (P.A.N),Carbohidratos,41,"0,5",3,180,50
,Mezcla de Harina y Arroz Blanco (P.A.N),Carbohidratos,77,"3,5",7,370,100
,Mi Yogurt,Proteina,19,"2,5",4,110,125
,Mostaza con Miel (Heinz),Carbohidratos,24,1,3,125,100
,Mostaza Honey Mustard (McCormick),Carbohidratos,3,0,0,12,6
,Mostaza Preparada (McCormick),Carbohidratos,1,0,0,4,6
,Mostaza Yellow Mustard (Heinz),Carbohidratos,0,0,0,0,5
,Mun Chips Tajaditas (Munchy),Dulce/Golosina/Chucheria,69,23,2,490,100
,Nachos (ST Charbel),Carbohidratos,"58,5","0,8","11,68",288,100
,Néctar de Manzana (Yukery),Bebidas,19,0,0,70,250
,Néctar de Pera (Natulac),Bebidas Azucaradas,32,0,0,130,250
,Nutella,Dulce/Golosina/Chucheria,22,11,2,200,37
