MUSCULO,EJERCICIO,LINK
DELTOIDES,PRESS MILITAR EN MULTIPOWER,EJEMPLO
DELTOIDES,PRESS MILITAR CON MANCUERNAS,EJEMPLO
CUADRICEPS,ZANCADA CON CARGA BILATERAL (PARA CUÁDRICEPS),EJEMPLO
CUADRICEPS,ZANCADA CON CARGA CONTRALATERAL (PARA CUÁDRICEPS),EJEMPLO
LUMBAR,HIPEREXTENSIONES (PARA LUMBAR),EJEMPLO
DORSAL,PULL DOWN (AGARRE NEUTRO),EJEMPLO
DORSAL,PULL DOWN (AGARRE PRONO),EJEMPLO
DORSAL,PULL DOWN (AGARRE SUPINO),EJEMPLO
DELTOIDES,POSTERIOR CON MANCUERNAS,EJEMPLO
DELTOIDES,ELEVACIONES LATERALES EN POLEA,EJEMPLO
DELTOIDES,ELEVACIONES LATERALES EN POLEA EN PLANO ESCAPULAR,EJEMPLO
DELTOIDES,ELEVACIONES LATERALES CON MANCUERNAS,EJEMPLO
PECTORAL,PRESS DECLINADO EN MULTIPOWER,EJEMPLO
PECTORAL,PRESS INCLINADO EN MULTIPOWER,EJEMPLO
CUADRICEPS,SENTADILLA BÚLGARA CON CARGA IPSILATERAL (PARA CUÁDRICEPS),EJEMPLO
CUADRICEPS,SENTADILLA CON BARRA ALTA,EJEMPLO
GLÚTEOS,ZANCADA CON CARGA BILATERAL (PARA GLÚTEOS),EJEMPLO
GLÚTEOS,ZANCADA CON CARGA CONTRALATERAL (PARA GLÚTEOS),EJEMPLO
CUADRICEPS,SENTADILLA EN MULTIPOWER (DOMINANTE DE CADERA),EJEMPLO
GLÚTEOS,ZANCADA CON CARGA IPSILATERAL (PARA GLÚTEOS),EJEMPLO
CUADRICEPS,ZANCADA CON CARGA IPSILATERAL (PARA CUÁDRICEPS),EJEMPLO
GLÚTEOS,SENTADILLA CON BARRA BAJA,EJEMPLO
CUADRICEPS,ZANCADA ESTÁTICA (PARA CUÁDRICEPS),EJEMPLO
GLÚTEOS,ZANCADA ESTÁTICA (PARA GLÚTEOS),EJEMPLO
CUADRICEPS,SENTADILLA BÚLGARA (PARA CUÁDRICEPS),EJEMPLO
ISQUIOSURAL,PESO MUERTO CON BANDA ELÁSTICA,EJEMPLO
CUADRICEPS,SENTADILLA BÚLGARA CON CARGA BILATERAL (PARA CUÁDRICEPS),EJEMPLO
CUADRICEPS,SENTADILLA BÚLGARA CON CARGA CONTRALATERAL (PARA CUÁDRICEPS),EJEMPLO
ISQUIOSURAL,PESO MUERTO CONVENCIONAL CON MANCUERNAS,EJEMPLO
ISQUIOSURAL,PESO MUERTO EN MULTIPOWER,EJEMPLO
GEMELOS,ELEVACIONES DE TALÓN UNILATERAL CON CARGA,EJEMPLO
ISQUIOSURAL,CURL NÓRDICO,EJEMPLO
GEMELOS,ELEVACIONES DE TALÓN,EJEMPLO
GEMELOS,ELEVACIONES DE TALÓN SENTADO,EJEMPLO
ISQUIOSURAL,PESO MUERTO PIERNAS SEMIRIGIDAS,EJEMPLO
GLÚTEOS,HIP THRUST EN MULTIPOWER,EJEMPLO
ISQUIOSURAL,PESO MUERTO CON BARRA,EJEMPLO
BÍCEPS,CURL DE BÍCEPS EN POLEA BAJA,EJEMPLO
ABDOMEN,CRUNCH ABDOMINAL CLÁSICO,EJEMPLO
ABDOMEN,DEAD BUG,EJEMPLO
ABDOMEN,ELEVACIONES DE PIERNA COLGADO,EJEMPLO
TRÍCEPS,EXTENSIÓN DE TRÍCEPS EN MÁQUINA,EJEMPLO
CALENTAMIENTO,CALENTAMIENTO (LEG EXTENSION),EJEMPLO
CALENTAMIENTO,CALENTAMIENTO (LEG CURL),EJEMPLO
CALENTAMIENTO,CALENTAMIENTO (EXTENSIÓN DE HOMBRO),EJEMPLO
CALENTAMIENTO,CALENTAMIENTO (FLEXIÓN DE HOMBRO),EJEMPLO
CALENTAMIENTO,APROXIMACIÓN DEL PRIMER EJERCICIO,
CALENTAMIENTO,CALENTAMIENTO BÁSICO DE PIERNAS (L.E-L.C-AD),
